instantiation-moment,heading,summary,starting-date,ending-date,price,more-info
2022/07/30 00:00,,,,,,
2022/07/30 00:00,,Blank title,2022/07/31 00:00,2022/08/07 00:00,EUR 15.00,https://example.com
2022/07/30 00:00,Blank summary,,2022/08/06 00:00,2022/08/13 00:00,USD 15.00,https://example.com
2022/07/30 00:00,Blank starting date,Blank starting date,,2022/08/09 00:00,USD 15.00,https://example.com
2022/07/30 00:00,Blank ending date,Blank ending date,2022/08/03 00:00,,"EUR 16,543.00",https://example.com
2022/07/30 00:00,Blank price,Blank price,2022/08/04 00:00,2022/08/11 00:00,,https://example.com
2022/07/30 00:00,Negative price,Negative price,2022/08/07 00:00,2022/08/14 00:00,EUR -15.00,null
2022/07/30 00:00,Other currency,Other currency,2022/08/09 00:00,2022/08/16 00:00,CAD 15.00,https://example.com
2022/07/30 00:00,Less than 1 week,Exactly 1 week,2022/08/17 00:00,2022/08/23 23:59,"USD 10,000.00",https://example.com
2022/07/30 00:00,Summary 101 characters,SuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummary;,2022/08/01 00:00,2022/08/08 00:00,GBP 1000.00,https://example.com
2022/07/30 00:00,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Heading 76 characters,2022/08/05 00:00,2022/08/12 00:00,EUR 45.00,https://example.com
2022/07/30 00:00,Ending date before starting date,Ending date before starting date,2022/08/15 00:00,2022/08/14 00:00,GBP 15.00,https://example.com
2022/07/30 00:00,After 2100/12/31 23:59,After 2100/12/31 23:59,2101/01/01 00:00,2101/04/01 00:00,EUR 3.00,https://example.com
2022/07/30 00:00,Before current moment 2022/07/30 00:00,Before current moment 2022/07/30 00:00,2000/01/01 00:00,2100/12/31 23:59,EUR 15.00,https://example.com
