recordIndex,code,title,courseAbstract,price,moreInfo
0,,,,,-
0,ZZZ,Este es un titulo normal,Esta descripcion si que tiene que ser bine larga para poder testear la longitud maxima en caracteres,EUR 9999999999.99,https://example.com/ZZZ-999
0,HR 569,Este titulo tiene que ser algo largo de más para probar la longitud maxima posible.,Esta es una buena descripción para un curso cualquiera,GBP 350.50,
0,JP 391,Este tambien es un titulo normal,Esta descripcion debe ser extremadamente larga para poder comprobar bien que efectivamente existe un numero máximo de caracteres,USD 0.80,
0,SDC 535,Un curso cocon una moneda no soportada,Con su descripción bien redactada,WXE 90.00,
0,SFU 483,Un curso coon precio negativo,Con su descripción redactada correctamente,EUR -90.00,https://example.com/SFU-483
0,436,Otro curso simplon,Una descripcion bien chida,USD 347.00,
0,A 000,Un curso con código repetido,Su descripcion bien puesta,GBP 999.90,https://example.com/A-000
0,,Un curso sin codigo,Tiene descripcion pero no codigo,USD 275.58,
0,W 203,,Este curse tiene descripción pero no titulo,EUR 4893.96,https://example.com/WJP-203
0,AF 390,Un curso sin descripcion,,GBP 216483.12,
0,YOU 019,Un curso sin precio,Este si tiene descripcion,,https://example.com/YOU-019
