recordIndex,practicumIndex,title,session-abstract,starting-date,ending-date,more-info
0,0,Example data,Example data,2022/08/06 00:00,2022/08/13 00:00,https://example.org
0,0,TitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitle,Title with 75 characters,2022/08/07 00:00,2022/08/14 00:00,https://example.org
0,0,T,Title with 1 character,2022/08/08 00:00,2022/08/15 00:00,https://example.org
0,0,Practicum session abstract 100 characters,PSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstract,2022/08/09 00:00,2022/08/16 00:00,https://example.org
0,0,Practicum session abstract 1 character,A,2022/08/10 00:00,2022/08/17 00:00,https://example.org
0,0,Maximun of 6 months duration of practicum session,Example data,2022/08/11 00:00,2023/01/18 13:54,https://example.org
0,0,Minimun of 1 week duration of practicum session,Example data,2022/08/12 00:00,2022/08/19 00:00,https://example.org
0,0,Testing maximun deadline counting from base moment,Example data,2023/07/13 00:00,2023/07/20 00:00,https://example.org
0,0,Testing URL,Testing URL,2023/07/14 00:00,2023/07/21 00:00,ftp:
0,0,Testing URL 255 characters,Testing URL,2023/07/15 00:00,2023/07/22 00:00,http://invalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256Uff.acme.es
0,0,Testing Blank URL,Testing Blank URL,2023/07/16 00:00,2023/07/23 00:00,http://invalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256Uff.acme.es
0,0,тестирование,тестирование,2023/07/17 00:00,2023/07/24 00:00,https://example.org
0,0,テスト,テスト,2023/07/18 00:00,2023/07/25 00:00,https://example.org
0,0,테스트,테스트,2023/07/19 00:00,2023/07/26 00:00,https://example.org
0,0,փորձարկում,փորձարկում,2023/07/20 00:00,2023/07/27 00:00,https://example.org
0,0,δοκιμές,δοκιμές,2023/07/21 00:00,2023/07/28 00:00,https://example.org
0,0,<script>alert('Hacked)</script>,<script>alert('Hacked)</script>,2023/07/22 00:00,2023/07/29 00:00,https://example.org
