practicumIndex,title,session-abstract,starting-date,ending-date,more-info
4,,,,,
4,,Blank title,2022/08/06 00:00,2022/08/13 00:00,https://example.org
4,Blank abstract,,2022/08/06 00:00,2022/08/13 00:00,https://example.org
4,Blank starting date,Blank starting date,,2022/08/13 00:00,https://example.org
4,Blank endingdate,Blank ending date,2022/08/06 00:00,,https://example.org
4,TitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitle;,Title 76 characters,2022/08/06 00:00,2023/01/28 13:54,https://example.org
4,Abstract 101 characters,PSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstract;,2022/08/06 00:00,2022/08/13 00:00,https://example.org
4,Ending date before Starting date,Ending date before Starting date,2023/07/30 00:00,2023/07/23 00:00,https://example.org
4,Surpassing maximun session duration,Surpassing maximun session duration,2022/08/06 00:00,2023/02/04 13:55,https://example.org
4,Practicum session before current system date,Practicum session before current system date,2000/01/01 00:00,2023/07/30 00:00,https://example.org
4,URL with 256 characters,URL with 256 characters,2000/01/01 00:00,2023/07/30 00:00,http://invalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256Uff.acme.com
4,Practicum Session after 2100/12/31 23:59,Practicum Session after 2100/12/31 23:59,2101/01/01 00:00,2101/01/08 00:00,https://example.org
