sessionIndex,practicumIndex,title,session-abstract,starting-date,ending-date,more-info
0,0,,,,,
0,0,,Blank title,2022/08/06 00:00,2022/08/13 00:00,https://example.org
0,0,Blank abstract,,2022/08/06 00:00,2022/08/13 00:00,https://example.org
0,0,Blank starting date,Blank starting date,,2022/08/13 00:00,https://example.org
0,0,Blank endingdate,Blank ending date,2022/08/06 00:00,,https://example.org
0,0,TitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitle;,Title 76 characters,2022/08/06 00:00,2023/01/28 13:54,https://example.org
0,0,Abstract 101 characters,PSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstractPSAbstract;,2022/08/06 00:00,2022/08/13 00:00,https://example.org
0,0,Ending date before Starting date,Ending date before Starting date,2023/07/30 00:00,2023/07/23 00:00,https://example.org
0,0,Surpassing maximun session duration,Surpassing maximun session duration,2022/08/06 00:00,2023/02/04 13:55,https://example.org
0,0,Lower limit starting date,Lower limit starting date,2000/01/01 00:00,2023/07/30 00:00,https://example.org
0,0,URL with 256 characters,URL with 256 characters,2000/01/01 00:00,2023/07/30 00:00,http://invalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256UffinvalidURL256Uff.acme.com
