title,abstract$,more-information,type,start-date,end-date
,L,https://www.example.com,HANDS_ON,2022/01/01 22:00,2022/01/01 22:01
Xhe Ultimate Guide to Creating a Successful Online Store:  Strategies Tips.o,L,https://www.example.com,HANDS_ON,2022/01/01 22:00,2022/01/01 22:01
X,,https://www.example.com,HANDS_ON,2022/01/01 22:00,2022/01/01 22:01
X,"You will learn how to create a website using HTML and CSS in this activity. For Example, Angular."oo,https://www.example.com,HANDS_ON,2022/01/01 22:00,2022/01/01 22:01
X,Angular,https://www.example.com,---,2022/01/01 22:00,2022/01/01 22:01
X,Angular,https://www.example.com,BALANCED,,2022/01/01 22:01
X,Angular,https://www.example.com,BALANCED,2022/01/01 22:01,
X,Angular,,BALANCED,2022/01/01 22:01,2022/01/01 22:01
X,Angular,https://www.example.com,BALANCED,2022/01/00 22:01,2022/01/01 22:02
X,Angular,https://www.example.com,BALANCED,2022/01/00 22:01,2022/02/21 22:02
