recordIndex,course,code,title,practicum-abstract,goals
0,---,,,,
1,---,ZZZ000,Expected error default course selected,Expected error default course selected,Expected error default course selected
2,DP 000,,Expected error code is not null,Expected error code is not null,Expected error code is not null
3,DP 000,ZZZ000,,Expected error title is null,Expected error title is null
4,DP 000,ZZZ000,Expected error practicum abstract null,,Expected error practicum abstract null
5,DP 000,ZZZ000,Expected error goals null,Expected error goals null,
6,DP 000,Error,Expected error invalid code format,Expected error invalid code format,Expected error invalid code format
7,DP 000,ZZZ000,ThisStrOutRangeThisStrOutRangeThisStrOutRangeThisStrOutRangeThisStrOutRange;,Expected error title is 76 characters long,Expected error title is 76 characters long
8,DP 000,ZZZ000,Expected error practicum abstract is 101 characters long,ThisAbstractIsLongggThisAbstractIsLongggThisAbstractIsLongggThisAbstractIsLongggThisAbstractIsLonggg.,Expected error practicum abstract is 101 characters long
9,DP 000,ZZZ000,Expected error goals is 101 characters long,Expected error goals is 101 characters long,TheseGoalsVeryLongggTheseGoalsVeryLongggTheseGoalsVeryLongggTheseGoalsVeryLongggTheseGoalsVeryLonggg.
