recordIndex,course,code,title,practicum-abstract,goals
0,---,,,,
0,---,ZZZ000,Expected error default course selected,Expected error default course selected,Expected error default course selected
0,DP 000,,Expected error code is not null,Expected error code is not null,Expected error code is not null
0,DP 000,ZZZ000,,Expected error title is null,Expected error title is null
0,DP 000,ZZZ000,Expected error practicum abstract null,,Expected error practicum abstract null
0,DP 000,ZZZ000,Expected error goals null,Expected error goals null,
0,DP 000,Error,Expected error invalid code format,Expected error invalid code format,Expected error invalid code format
0,DP 000,ZZZ000,ThisStrOutRangeThisStrOutRangeThisStrOutRangeThisStrOutRangeThisStrOutRange;,Expected error title is 76 characters long,Expected error title is 76 characters long
0,DP 000,ZZZ000,Expected error practicum abstract is 101 characters long,ThisAbstractIsLongggThisAbstractIsLongggThisAbstractIsLongggThisAbstractIsLongggThisAbstractIsLonggg.,Expected error practicum abstract is 101 characters long
0,DP 000,ZZZ000,Expected error goals is 101 characters long,Expected error goals is 101 characters long,TheseGoalsVeryLongggTheseGoalsVeryLongggTheseGoalsVeryLongggTheseGoalsVeryLongggTheseGoalsVeryLonggg.
