recordIndex,instantiation-moment,heading,summary,starting-date,ending-date,price,more-info
18,2022/07/30 00:00,Trying EUR,Trying EUR,2022/07/31 00:00,2022/08/08 00:00,EUR 15.00,https://example.com
19,2022/07/30 00:00,Summary 100 characters,SuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummarySuuuummary,2022/08/01 00:00,2022/08/08 00:00,"GBP 1,000.00",https://example.com
20,2022/07/30 00:00,Trying USD,Trying USD,2022/08/02 00:00,2022/08/09 00:00,USD 15.00,https://example.com
21,2022/07/30 00:00,Summary 1 character,S,2022/08/03 00:00,2022/08/10 00:00,"EUR 16,543.00",https://example.com
22,2022/07/30 00:00,Trying link,Trying link,2022/08/04 00:00,2022/08/11 00:00,EUR 7.99,https://example.com
23,2022/07/30 00:00,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Heading 75 characters,2022/08/05 00:00,2022/08/12 00:00,EUR 45.00,https://example.com
24,2022/07/30 00:00,a,Heading 1 character,2022/08/06 00:00,2022/08/13 00:00,USD 15.00,https://example.com
25,2022/07/30 00:00,No link provided,No link provided,2022/08/07 00:00,2022/08/14 00:00,EUR 15.00,null
26,2022/07/30 00:00,"\ª!""·$%&/()=?¿*P¨´´-.,{}|@\#~€¬^:;áéíóúàèìòù","\ª!""·$%&/()=?¿*P¨´´-.,{}|@\#~€¬^:;áéíóúàèìòù",2022/08/08 00:00,2022/08/15 00:00,EUR 15.00,https://example.com
27,2022/07/30 00:00,Это безумие,Это безумие,2022/08/09 00:00,2022/08/16 00:00,EUR 15.00,https://example.com
28,2022/07/30 00:00,هذا جنون,هذا جنون,2022/08/10 00:00,2022/08/17 00:00,EUR 15.00,https://example.com
29,2022/07/30 00:00,Բարեւ,Բարեւ,2022/08/11 00:00,2022/08/18 00:00,EUR 15.00,https://example.com
30,2022/07/30 00:00,Γειά σου,Γειά σου,2022/08/12 00:00,2022/08/19 00:00,EUR 15.00,https://example.com
31,2022/07/30 00:00,こんにちは,こんにちは,2022/08/13 00:00,2022/08/20 00:00,EUR 15.00,https://example.com
32,2022/07/30 00:00,안녕하세요,안녕하세요,2022/08/14 00:00,2022/08/21 00:00,EUR 15.00,https://example.com
33,2022/07/30 00:00,Trying GBP,Trying GBP,2022/08/15 00:00,2022/08/22 00:00,GBP 15.00,https://example.com
34,2022/07/30 00:00,One day since 2022/07/30 00:00,One day since 2022/07/30 00:00,2022/08/16 00:00,2022/08/17 00:00,EUR 3.00,https://example.com
35,2022/07/30 00:00,Exactly 1 week,Exactly 1 week,2022/08/17 00:00,2022/08/24 00:00,"USD 10,000.00",https://example.com
36,2022/07/30 00:00,One week long at maximun posible schedule,One week long at maximun posible schedule,2100/12/24 23:59,2100/12/31 23:59,EUR 15.00,https://example.com
